"DOI","Topic Area"
"10.1371/journal.pbio.0000001","Cell Biology"
"10.1371/journal.pbio.0000001","Immunology"
"10.1371/journal.pbio.0000001","Molecular Biology"
"10.1371/journal.pbio.0000002","Biotechnology"
"10.1371/journal.pbio.0000002","Genetics and Genomics"
"10.1371/journal.pbio.0000002","Infectious Diseases"
"10.1371/journal.pbio.0000002","Virology"
"10.1371/journal.pbio.0000003","Biotechnology"
"10.1371/journal.pbio.0000003","Computational Biology"
"10.1371/journal.pbio.0000003","Genetics and Genomics"
"10.1371/journal.pbio.0000003","Infectious Diseases"
"10.1371/journal.pbio.0000003","Virology"
"10.1371/journal.pbio.0000004","Cell Biology"
"10.1371/journal.pbio.0000004","Immunology"
"10.1371/journal.pbio.0000004","Molecular Biology"
"10.1371/journal.pbio.0000005","Genetics and Genomics"
"10.1371/journal.pbio.0000005","Infectious Diseases"
"10.1371/journal.pbio.0000005","Microbiology"
"10.1371/journal.pbio.0000006","Ecology"
"10.1371/journal.pbio.0000006","Evolutionary Biology"
"10.1371/journal.pbio.0000006","Genetics and Genomics"
"10.1371/journal.pbio.0000007","Ecology"
"10.1371/journal.pbio.0000007","Evolutionary Biology"
"10.1371/journal.pbio.0000007","Genetics and Genomics"
"10.1371/journal.pbio.0000008","Biotechnology"
"10.1371/journal.pbio.0000008","Ecology"
"10.1371/journal.pbio.0000008","Genetics and Genomics"
"10.1371/journal.pbio.0000008","Plant Biology"
"10.1371/journal.pbio.0000008","Science Policy"
"10.1371/journal.pbio.0000009","Science Policy"
"10.1371/journal.pbio.0000010","Cell Biology"
"10.1371/journal.pbio.0000010","Computational Biology"
"10.1371/journal.pbio.0000010","Developmental Biology"
"10.1371/journal.pbio.0000010","Molecular Biology"
"10.1371/journal.pbio.0000010","Oncology"
"10.1371/journal.pbio.0000011","Genetics and Genomics"
"10.1371/journal.pbio.0000011","Infectious Diseases"
"10.1371/journal.pbio.0000011","Microbiology"
"10.1371/journal.pbio.0000012","Developmental Biology"
"10.1371/journal.pbio.0000012","Genetics and Genomics"
"10.1371/journal.pbio.0000012","Molecular Biology"
"10.1371/journal.pbio.0000013","Cell Biology"
"10.1371/journal.pbio.0000013","Developmental Biology"
"10.1371/journal.pbio.0000013","Genetics and Genomics"
"10.1371/journal.pbio.0000013","Molecular Biology"
"10.1371/journal.pbio.0000013","Neuroscience"
"10.1371/journal.pbio.0000013","Physiology"
"10.1371/journal.pbio.0000014","Cell Biology"
"10.1371/journal.pbio.0000014","Molecular Biology"
"10.1371/journal.pbio.0000017","Neuroscience"
"10.1371/journal.pbio.0000017","Science Policy"
