"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus","Total HTML Page Views","Total PDF Downloads","Total XML Downloads","Combined Usage (HTML + PDF + XML)","Blog Coverage - Postgenomic","Blog Coverage - Nature Blogs","Blog Coverage - Bloglines","Number of Trackbacks","Social Bookmarking - CiteULike","Social Bookmarking - Connotea","Number of Ratings","Average Rating","Number of Note threads","Number of replies to Notes","Number of Comment threads","Number of replies to Comments","Number of 'Star Ratings' that also include a text comment"
"10.1371/journal.pone.0004735",03/06/09,2009,"PLoS ONE","RA","Geographic Variation of Strontium and Hydrogen Isotopes in Avian Tissue: Implications for Tracking Migration and Dispersal",0,0,0,301,73,2,376,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005772",06/03/09,2009,"PLoS ONE","RA","Stable Vascular Connections and Remodeling Require Full Expression of VE-Cadherin in Zebrafish Embryos",0,0,0,472,156,3,631,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004225",01/19/09,2009,"PLoS ONE","RA","Novel Exon of Mammalian ADAR2 Extends Open Reading Frame",1,1,0,333,117,2,452,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005215",04/22/09,2009,"PLoS ONE","RA","Rare Species Are Valued Big Time",0,0,0,783,118,5,906,0,0,0,2,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005916",06/16/09,2009,"PLoS ONE","RA","Infectious Prions in Pre-Clinical Deer and Transmission of Chronic Wasting Disease Solely by Environmental Exposure",0,0,0,787,154,2,943,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pbio.1000082",04/14/09,2009,"PLoS Biology","RA","Accelerated Adaptive Evolution on a Newly Formed X Chromosome",0,0,0,2735,763,28,3526,0,0,0,0,6,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004553",02/23/09,2009,"PLoS ONE","RA","Ancestral Origin of the ATTCT Repeat Expansion in Spinocerebellar Ataxia Type 10 (SCA10)",0,0,0,202,54,1,257,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004839",03/27/09,2009,"PLoS ONE","RA","Expression Analysis of the Theileria parva Subtelomere-Encoded Variable Secreted Protein Gene Family",0,0,0,217,43,3,263,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004946",03/18/09,2009,"PLoS ONE","RA","Effect of Cigarette Smoke Extract on Dendritic Cells and Their Impact on T-Cell Proliferation",1,0,1,432,149,2,583,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0006227",07/14/09,2009,"PLoS ONE","RA","A Novel and Efficient Gene Transfer Strategy Reduces Glial Reactivity and Improves Neuronal Survival and Axonal Growth In Vitro",0,0,0,526,90,1,617,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005953",06/18/09,2009,"PLoS ONE","RA","Attenuated AMPA Receptor Expression Allows Glioblastoma Cell Survival in Glutamate-Rich Environment",0,0,0,541,49,5,595,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1000371",04/10/09,2009,"PLoS Pathogens","RA","Arginase-1?Expressing Macrophages Suppress Th2 Cytokine?Driven Inflammation and Fibrosis",1,0,0,721,282,3,1006,0,0,0,0,2,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0006366",07/29/09,2009,"PLoS ONE","RA","Autosomal Resequence Data Reveal Late Stone Age Signals of Population Expansion in Sub-Saharan African Foraging and Farming Populations",0,0,0,711,170,2,883,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1000492",06/26/09,2009,"PLoS Pathogens","RA","Epstein-Barr Virus Latency in B Cells Leads to Epigenetic Repression and CpG Methylation of the Tumour Suppressor Gene Bim",0,0,0,430,161,1,592,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pcbi.1000399",06/05/09,2009,"PLoS Computational Biology","RA","The Effect of Ongoing Exposure Dynamics in Dose Response Relationships",0,0,0,578,88,3,669,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005341",04/28/09,2009,"PLoS ONE","RA","BNP Signaling Is Crucial For Embryonic Stem Cell Proliferation",0,0,0,251,101,1,353,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004733",03/06/09,2009,"PLoS ONE","RA","Low Adiponectin Levels Are an Independent Predictor of Mixed and Non-Calcified Coronary Atherosclerotic Plaques",0,0,0,360,87,3,450,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pgen.1000396",02/27/09,2009,"PLoS Genetics","RA","A Systems Approach Reveals Regulatory Circuitry for Arabidopsis Trichome Initiation by the GL3 and GL1 Selectors",1,0,0,973,324,8,1305,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0006272",07/17/09,2009,"PLoS ONE","RA","Morphometrics Parallel Genetics in a Newly Discovered and Endangered Taxon of Gal?pagos Tortoise",0,0,0,365,52,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pcbi.1000265",01/16/09,2009,"PLoS Computational Biology","RA","Action Potential Initiation in the Hodgkin-Huxley Model",0,0,0,1331,295,9,1635,1,0,0,1,2,0,0,0,0,0,1,0,0
"10.1371/journal.pcbi.1000255",01/02/09,2009,"PLoS Computational Biology","RA","Polyamine Sharing between Tubulin Dimers Favours Microtubule Nucleation and Elongation via Facilitated Diffusion",1,0,0,537,128,12,677,0,0,0,0,0,0,0,0,1,0,0,0,0
"10.1371/journal.pone.0005453",05/12/09,2009,"PLoS ONE","RA","How ?-Lactam Antibiotics Enter Bacteria: A Dialogue with the Porins",0,0,0,447,99,3,549,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pcbi.1000427",07/03/09,2009,"PLoS Computational Biology","RA","A Compact Representation of Drawing Movements with Sequences of Parabolic Primitives",0,0,0,275,51,2,328,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004605",02/26/09,2009,"PLoS ONE","RA","Creatine Fails to Augment the Benefits from Resistance Training in Patients with HIV Infection: A Randomized, Double-Blind, Placebo-Controlled Study",0,0,0,403,57,2,462,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0006000",06/22/09,2009,"PLoS ONE","RA","Genotyping and Phylogenetic Analysis of Yersinia pestis by MLVA: Insights into the Worldwide Expansion of Central Asia Plague Foci",0,0,0,614,99,3,716,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004723",03/23/09,2009,"PLoS ONE","RA","Reducing Glycosphingolipid Content in Adipose Tissue of Obese Mice Restores Insulin Sensitivity, Adipogenesis and Reduces Inflammation",0,0,1,735,193,1,929,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pgen.1000371",02/06/09,2009,"PLoS Genetics","non RA","When Segregation Hangs by a Thread",0,0,0,548,125,7,680,0,0,0,0,0,1,0,0,0,0,0,0,0
