"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus"
"10.1371/journal.pbio.0000001",10/13/03,2003,"PLoS Biology","RA","A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences",4,4,25
"10.1371/journal.pbio.0000002",11/17/03,2003,"PLoS Biology","RA","Viral Discovery and Sequence Recovery Using DNA Microarrays",36,40,111
"10.1371/journal.pbio.0000003",11/17/03,2003,"PLoS Biology","non RA","Gene Chip for Viral Discovery",0,0,1
"10.1371/journal.pbio.0000004",10/13/03,2003,"PLoS Biology","non RA","Functional Analysis of RSS Spacers",0,0,0
"10.1371/journal.pbio.0000005",08/18/03,2003,"PLoS Biology","RA","The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum",84,110,416
"10.1371/journal.pbio.0000006",08/18/03,2003,"PLoS Biology","RA","DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation",6,0,14
"10.1371/journal.pbio.0000007",08/18/03,2003,"PLoS Biology","non RA","Borneo Elephants: A High Priority for Conservation",0,0,0
"10.1371/journal.pbio.0000008",10/13/03,2003,"PLoS Biology","non RA","Genetically Modified Corn? Environmental Benefits and Risks",1,1,4
"10.1371/journal.pbio.0000009",10/13/03,2003,"PLoS Biology","non RA","Out of the Way",1,1,0
"10.1371/journal.pbio.0000010",10/13/03,2003,"PLoS Biology","RA","The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway",30,25,121
"10.1371/journal.pbio.0000011",08/18/03,2003,"PLoS Biology","non RA","Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells",0,0,0
"10.1371/journal.pbio.0000012",10/13/03,2003,"PLoS Biology","RA","Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions",42,66,208
"10.1371/journal.pbio.0000013",09/15/03,2003,"PLoS Biology","RA","Drosophila Free-Running Rhythms Require Intercellular Communication",24,24,81
"10.1371/journal.pbio.0000014",10/13/03,2003,"PLoS Biology","non RA","Heterochromatin Dynamics",1,0,1
"10.1371/journal.pbio.0000015",10/13/03,2003,"PLoS Biology","non RA","Microarray Analysis",3,3,10
"10.1371/journal.pbio.0000016",10/13/03,2003,"PLoS Biology","non RA","V(D)J Recombination and the Evolution of the Adaptive Immune System",4,1,8
"10.1371/journal.pbio.0000017",10/13/03,2003,"PLoS Biology","non RA","Neuroscience Networks",7,5,24
