"Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus","Total Citations","Days Old","Citations Per Day"
10/05/04,2004,"PLoS Biology","RA","Human MicroRNA Targets",185,161,457,803,"1840.47",0.44
02/24/04,2004,"PLoS Biology","RA","Genetic and Functional Diversification of Small RNA Pathways in Plants",142,108,370,620,"2064.47",0.3
08/18/03,2003,"PLoS Biology","RA","The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum",84,110,416,610,"2254.47",0.27
11/17/03,2003,"PLoS Biology","RA","The Genome Sequence of Caenorhabditis briggsae: A Platform for Comparative Genomics",65,134,314,513,"2163.47",0.24
02/15/05,2005,"PLoS Biology","RA","Principles of MicroRNA?Target Recognition",149,127,227,503,"1707.47",0.29
03/07/06,2006,"PLoS Biology","RA","A Map of Recent Positive Selection in the Human Genome",133,94,234,461,"1322.47",0.35
10/13/03,2003,"PLoS Biology","RA","Identification of Drosophila MicroRNA Targets",92,71,266,429,"2198.47",0.2
08/17/04,2004,"PLoS Biology","RA","Retroviral DNA Integration: ASLV, HIV, and MLV Show Distinct Target Site Preferences",100,93,235,428,"1889.47",0.23
02/22/05,2005,"PLoS Medicine","RA","Acquired Resistance of Lung Adenocarcinomas to Gefitinib or Erlotinib Is Associated with a Second Mutation in the EGFR Kinase Domain",138,49,217,404,"1700.47",0.24
11/11/04,2004,"PLoS Biology","RA","Highly Conserved Non-Coding Sequences Are Associated with Vertebrate Development",73,103,224,400,"1803.47",0.22
03/14/06,2006,"PLoS Biology","RA","Relaxed Phylogenetics and Dating with Confidence",114,73,196,383,"1315.47",0.29
09/28/04,2004,"PLoS Biology","RA","Identification of Birds through DNA Barcodes",85,31,257,373,"1847.47",0.2
01/25/05,2005,"PLoS Medicine","RA","KRAS Mutations and Primary Resistance of Lung Adenocarcinomas to Gefitinib or Erlotinib",118,26,226,370,"1728.47",0.21
01/13/04,2004,"PLoS Biology","RA","Gene Expression Signature of Fibroblast Serum Response Predicts Human Cancer Progression: Similarities between Tumors and Wounds",61,68,219,348,"2106.47",0.17
10/25/05,2005,"PLoS Medicine","RA","Randomized, Controlled Intervention Trial of Male Circumcision for Reduction of HIV Infection Risk: The ANRS 1265 Trial",121,66,154,341,"1455.47",0.23
10/13/03,2003,"PLoS Biology","RA","Learning to Control a Brain?Machine Interface for Reaching and Grasping by Primates",68,15,253,336,"2198.47",0.15
08/24/04,2004,"PLoS Biology","RA","Regulation of Muscle Fiber Type and Running Endurance by PPAR?",65,40,230,335,"1882.47",0.18
11/28/06,2006,"PLoS Medicine","RA","Projections of Global Mortality and Burden of Disease from 2002 to 2030",79,60,185,324,"1056.47",0.31
10/13/03,2003,"PLoS Biology","RA","Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions",42,66,208,316,"2198.47",0.14
09/07/04,2004,"PLoS Biology","RA","Population History and Natural Selection Shape Patterns of Genetic Variation in 132 Genes",84,51,178,313,"1868.47",0.17
03/23/04,2004,"PLoS Biology","RA","A Protein Complex Containing the Conserved Swi2/Snf2-Related ATPase Swr1p Deposits Histone Variant H2A.Z into Euchromatin",54,59,197,310,"2036.47",0.15
02/01/05,2005,"PLoS Biology","RA","The Genomes of Oryza sativa: A History of Duplications",90,77,142,309,"1721.47",0.18
02/24/04,2004,"PLoS Biology","RA","Sequence-Specific Inhibition of Small RNA Function",73,46,184,303,"2064.47",0.15
03/13/07,2007,"PLoS Biology","RA","The Sorcerer II Global Ocean Sampling Expedition: Northwest Atlantic through Eastern Tropical Pacific",136,74,93,303,"951.47",0.32
05/24/05,2005,"PLoS Biology","RA","The Pattern of Polymorphism in Arabidopsis thaliana",88,73,141,302,"1609.47",0.19
05/03/05,2005,"PLoS Biology","RA","A Scan for Positively Selected Genes in the Genomes of Humans and Chimpanzees",86,64,128,278,"1630.47",0.17
03/16/04,2004,"PLoS Biology","RA","Phylogenomics of the Reproductive Parasite Wolbachia pipientis wMel: A Streamlined Genome Overrun by Mobile Genetic Elements",52,53,164,269,"2043.47",0.13
05/24/05,2005,"PLoS Biology","RA","Normal microRNA Maturation and Germ-Line Stem Cell Maintenance Requires Loquacious, a Double-Stranded RNA-Binding Domain Protein",61,45,153,259,"1609.47",0.16
04/20/04,2004,"PLoS Biology","RA","Integrative Annotation of 21,037 Human Genes Validated by Full-Length cDNA Clones",40,51,163,254,"2008.47",0.13
12/22/03,2003,"PLoS Biology","RA","Distinct Mechanisms Determine Transposon Inheritance and Methylation via Small Interfering RNA and Histone Modification",60,44,148,252,"2128.47",0.12
09/06/05,2005,"PLoS Biology","RA","Two Rounds of Whole Genome Duplication in the Ancestral Vertebrate",68,62,121,251,"1504.47",0.17
08/30/05,2005,"PLoS Medicine","non RA","Why Most Published Research Findings Are False",91,52,99,242,"1511.47",0.16
01/04/05,2005,"PLoS Biology","RA","Major Structural Differences and Novel Potential Virulence Mechanisms from the Genomes of Multiple Campylobacter Species",43,52,146,241,"1749.47",0.14
09/04/07,2007,"PLoS Biology","RA","The Diploid Genome Sequence of an Individual Human",108,64,62,234,"776.47",0.3
09/28/04,2004,"PLoS Biology","non RA","DNA Barcoding: Promise and Pitfalls",62,13,153,228,"1847.47",0.12
08/16/05,2005,"PLoS Biology","RA","Niche-Independent Symmetrical Self-Renewal of a Mammalian Tissue Stem Cell",77,23,126,226,"1525.47",0.15
12/07/04,2004,"PLoS Medicine","RA","Short Sleep Duration Is Associated with Reduced Leptin, Elevated Ghrelin, and Increased Body Mass Index",64,23,135,222,"1777.47",0.12
07/27/04,2004,"PLoS Biology","RA","Genome-Wide Mapping of the Cohesin Complex in the Yeast Saccharomyces cerevisiae",41,47,132,220,"1910.47",0.12
07/20/07,2007,"PLoS Genetics","RA","Genome-Wide Association Scan Shows Genetic Variants in the FTO Gene Are Associated with Obesity-Related Traits",84,42,93,219,"822.47",0.27
02/22/05,2005,"PLoS Biology","RA","Grasping the Intentions of Others with One's Own Mirror Neuron System",67,20,131,218,"1700.47",0.13
09/15/03,2003,"PLoS Biology","RA","From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the ?-Proteobacteria",28,45,143,216,"2226.47",0.1
03/13/07,2007,"PLoS Biology","RA","The Sorcerer II Global Ocean Sampling Expedition: Expanding the Universe of Protein Families",63,50,99,212,"951.47",0.22
03/16/04,2004,"PLoS Biology","RA","Extensive Association of Functionally and Cytotopically Related mRNAs with Puf Family RNA-Binding Proteins in Yeast",37,42,133,212,"2043.47",0.1
07/13/04,2004,"PLoS Biology","RA","HIV Infection of Naturally Occurring and Genetically Reprogrammed Human Regulatory T-cells",57,26,125,208,"1924.47",0.11
07/18/06,2006,"PLoS Medicine","RA","MPLW515L Is a Novel Somatic Activating Mutation in Myelofibrosis with Myeloid Metaplasia",92,17,97,206,"1189.47",0.17
